123,20,1,6,HUMPHREY,ATTACCAPANNI COLORE GRIGIO/TRASPARENTE,H.175
124,35,1,6,MIRROR TABLE,"SPECCHIO, STRUTTURA BIANCA, TAVOLINO ROSSO",L.95 H.208
125,36,1,3,ASMIR,RIVESTIMENTO IN TESSUTO BIANCO,300X310
126,24,1,16,DAN,TOP BIANCO STRUTTURA ALLUMINIO,D.130/150 H.40
127,24,2,4,SPRING LOW,"STRUTTURA BIANCA, SEDILE PELLE NERA",
128,39,1,16,,METALLO BIANCO,D.51 H.46
129,37,1,13,T030,"LACCATO LUCIDO COLORE SABBIA, PANNELLO LEGNO SCURO",
130,23,1,7,PASCAL,LAMPADA DA TERRA COLORE BIANCO,H.200
131,6,1,7,UOVO,LAMPADA DA TAVOLO VETRO BIANCO,D.40 H.65
132,38,2,20,LEDGE,"LIBRERIA INCLINATA CON 4 MODULI, COLORE BIANCA",L.120 P.35 H.210
133,38,2,20,LEDGE,"LIBRERIA INCLINATA CON 4 MODULI, COLORE BIANCA",L.120 P.35 H.210
134,39,1,5,VIEQUES,"TOP TEAK, BASE MANGANESE",L.270 P.100
135,39,1,5,VIEQUES,"TOP TEAK, BASE MANGANESE",L.270 P.100
136,42,1,7,POLARIS,LAMPADA A TERRA COLORE BIANCO,D.35 H.190
138,39,2,14,NET,"NERA, STRUTTURA MANGANESE CON CUSCINO GRIGIO",
137,39,2,14,MAIA,"COLORE NERO, STRUTTURA MANGANESE, CUSCINO GRIGIO",
139,28,1,8,DORIS 764,COLORE GRIGIO,D.300
140,3,2,14,BAG CHAIR,"STRUTTURA NIKEL BRONZATO, PELLE TESTA DI MORO",
141,5,1,3,OMNIA,RIVESTIMENTO IN TESSUTO COLORE BEIGE,
142,2,1,4,MART,"RIVESTIMENTO IN TESSUTO ARANCIONE, BASCULANTE, STRUTTURA CROMO",
143,2,1,8,,"TOP LEGNO SCURO, STRUTTURA CROMO",180X58
144,8,1,8,BUTTERFLY,LEGNO SCURO,40X30 H.40
145,5,1,5,VAM DYKE,"BASE CROMATA, TOP LEGNO SCURO",120X160
146,2,4,14,DOYL,RIVESTIMENTO IN CUOIO,
147,12,2,7,PAPIRO,"LAMPADA DA TERRA, COLORE ARGENTO",
148,4,1,7,TWIGGY,LAMPADA DA TERRA COLORE BIANCO,
149,8,1,7,AKARI,LAMPADA DA TERRA ,H.195
150,33,1,6,MING,"VASO DA TERRA, BIANCO OPACO",D.66 H.100
151,37,1,20,SELECTA,"STRUTTURA BIANCO OPACO, ANTA SCORREVOLE LUCIDA GIALLA",L.310 P.44.5 H.300
152,28,1,8,FOGG 1,PELO LUNGO BIANCO,200X300
153,20,1,6,PERPETUO FORMOSA,CALENDARIO ARGENTO,
154,3,1,3,DONOVAN,RIVESTIMENTO IN TESSUTO ,
155,3,1,15,DEVIS,RIVESTIMENTO IN TESSUTO,60X60 H.34
156,3,1,16,PERRY,"PIANO LEGNO SCURO, BASE NICKEL BRONZATO",D.115
157,3,1,4,JENSEN,"RIVESTIMENTO IN PELLE NERA, RITORNO AUTOMATICO",
158,3,1,15,JENSEN,RIVESTIMENTO IN PELLE NERA,
159,6,1,7,DRUM,LAMPADA DA TERRA PARALUME VETRO BIANCO,D.48 H.175
160,3,1,12,JOHNS WIDE,"STRUTTURA LEGNO SCURO, FRONTALI LACCATI LUCIDO GRIGIO",L.350 P.50 H.123
161,23,2,7,DO WITH,LAMPADA DA TERRA COLORE BIANCO,
162,23,1,7,SWITCH,LAMPADA DA TAVOLO COLORE NERO,D.40 H.53
163,16,1,9,,COLORE BIANCO E ROSA,120X100
164,40,1,20,PTOLOMEO,"BASE CROMO, STRUTTURA NERA",H.77
165,40,1,20,PTOLOMEO,"BASE CROMO, STRUTTURA NERA",H.160
166,40,1,20,PTOLOMEO,"BASE CROMO, STRUTTURA NERA",H.215
167,8,1,4,LONG CHAIR,"PELLE NERA, SCOCCA PALISSANDRO",
168,8,1,15,OTTOMAN,"PELLE NERA, SCOCCA PALISSANDRO",
